folder,label,cloud_frac,nodata_frac,bad_frac,flag
df0799b41a10f4645b6467ce57a31294,escravos @ 2025-12-15,0.056,0.000,0.056,CLEAN
4942cf05457e169808107603ec293655,brass @ 2025-12-15,0.057,0.000,0.057,CLEAN
2a03589f30050427841ed7918fa949c4,bonny_island @ 2025-12-15,0.065,0.000,0.065,CLEAN
7456ebadd297da9ff0eb53c461892332,7456ebadd297,0.069,0.000,0.069,CLEAN
8755786dee2583cb3f50e3e27b5192b5,brass @ 2025-12-15,0.071,0.000,0.071,CLEAN
d822bdb6718ce25c8d97e9585244bbf8,akassa @ 2025-06-15,0.072,0.000,0.072,CLEAN
bbc5356cf3f0915d85c156c57cd38bbc,awoye @ 2025-01-15,0.075,0.000,0.075,CLEAN
57d944d05194d1c83b400b90bcde52c5,escravos @ 2025-12-15,0.078,0.000,0.078,CLEAN
e78ab4a8837a00e6ae793659019828ab,escravos @ 2025-12-15,0.078,0.000,0.078,CLEAN
6d1be649eb6f79538bfa9535a0baf7c9,brass @ 2025-06-15,0.083,0.000,0.083,CLEAN
04d4c8c3314489908300098a5309593f,escravos @ 2025-12-15,0.086,0.000,0.086,CLEAN
537fa99f965b293095a8a849e41588e4,san_bartholomew_bay @ 2025-12-15,0.087,0.000,0.087,CLEAN
b368d278a28022ee3779bc0a2494b880,bonny_island @ 2025-01-15,0.094,0.000,0.094,CLEAN
9a953837e33e16ca754e47c98d115026,bonny_island @ 2025-12-15,0.100,0.000,0.100,CLEAN
3df182668938ce9830caca7d66ee44a0,brass @ 2025-12-15,0.103,0.000,0.103,CLEAN
5afa49f29a07ee4febab2857a122f9e9,opobo @ 2025-12-15,0.115,0.000,0.115,CLEAN
6bd601453536a2741a3ad444782253ff,nembe @ 2025-06-15,0.145,0.000,0.145,CLEAN
57847cf15dd6ca4701ece02d860b9bc9,akassa @ 2025-01-15,0.193,0.000,0.193,PARTIAL
0fbf91efcb0c1ceaba947c954a88417a,bonny_island @ 2025-12-15,0.289,0.000,0.289,PARTIAL
bfa9bddb948038483908c5135ce27e2c,bonny_island @ 2025-12-15,0.289,0.000,0.289,PARTIAL
6f221da9aad8b1d1e7e0eb2f384aae1c,opobo @ 2025-12-15,0.048,0.706,0.754,CLOUDY
f58761a99b72b604f68923f5d6b0981b,f58761a99b72,0.992,0.000,0.992,CLOUDY
0dd55fb19b5874bc286ee97359de9967,ayetoro @ 2025-06-15,0.000,1.000,1.000,CLOUDY
19f63d4186eb6e1f64fc06f29e534943,opobo @ 2025-06-15,0.000,1.000,1.000,CLOUDY
b05b213e60ae63d2c4689a399ad804cb,awoye @ 2025-06-15,0.000,1.000,1.000,CLOUDY
c654687ea07f03ae2fc2ebaf527808aa,bonny_island @ 2025-06-15,0.000,1.000,1.000,CLOUDY
