name,lat,lon,date,path
forcados,5.5992,5.5831,2025-12-15,bb2e3c0dd8c1c16708db4782adb75b1b\response.tiff
brass,4.315,6.2417,2025-01-15,1606a59f5ddc5c2bbbcd28084eeed1b9\response.tiff
brass,4.315,6.2417,2025-12-15,8755786dee2583cb3f50e3e27b5192b5\response.tiff
escravos,5.6167,5.1889,2025-01-15,88c36bc49e0110873a8e0ffc36d6bc15\response.tiff
escravos,5.6167,5.1889,2025-12-15,04d4c8c3314489908300098a5309593f\response.tiff
ayetoro,6.2298,4.6496,2025-01-15,4af2c5482478a84b9bf1282fbc7a8d57\response.tiff
ayetoro,6.2298,4.6496,2025-12-15,b9d01b3b98207dfd6a51bc243a49b1e4\response.tiff
bonny_island,4.3955,7.1763,2025-01-15,e6dbdece6724823e29c6310d9a5f655d\response.tiff
bonny_island,4.3955,7.1763,2025-12-15,9a953837e33e16ca754e47c98d115026\response.tiff
forcados,5.5992,5.5831,2025-01-15,0deabb83f556e22c41cb209f00eadc3f\response.tiff
forcados,5.5992,5.5831,2025-12-15,a3140ed2c8d512de767143b12c1bb6f0\response.tiff
brass,4.315,6.2417,2025-01-15,10a3f4ae565ebb6d3568e12680fd2b00\response.tiff
brass,4.315,6.2417,2025-12-15,4942cf05457e169808107603ec293655\response.tiff
escravos,5.6167,5.1889,2025-01-15,3f0aad2b4737a8aabb7230473f53fc08\response.tiff
escravos,5.6167,5.1889,2025-12-15,df0799b41a10f4645b6467ce57a31294\response.tiff
